trajectory_id,64_95_class,wait,k_sequence,pre3_sequence,local4_sequence,first_pre111_event,last_pre111_event,maintains_pre111_to_pass,break_event_if_any,break_type_if_any,pass_face
73,A_start,6,"2,1,1,3,1,1,1","2 | 2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","2,1,1,3+ | 1,1,3+,1;2,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",6,6,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
164,A_start,5,"2,2,1,1,1,1","2 | 2,2 | 2,2,1 | 2,1,1 | 1,1,1 | 1,1,1","2,2,1,1 | 2,1,1,1;2,2,1,1 | 1,1,1,1;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",4,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
165,A_start,4,"4,1,1,1,1","3+ | 3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","3+,1,1,1 | 1,1,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",3,4,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
166,A_start,5,"1,1,3,1,1,1","1 | 1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,1,3+,1 | 1,1,3+,1;1,3+,1,1 | 1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",5,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
171,A_start,9,"1,2,2,2,3,2,1,1,1,1","1 | 1,2 | 1,2,2 | 2,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,2,2,2 | 1,2,2,2;2,2,2,3+ | 1,2,2,2;2,2,2,3+;2,2,3+,2 | 1,2,2,2;2,2,2,3+;2,2,3+,2;2,3+,2,1 | 2,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 2,1,1,1;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",8,9,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
231,A_start,10,"1,1,2,1,1,2,6,1,1,1,1","1 | 1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,2 | 1,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,1,2,1 | 1,1,2,1;1,2,1,1 | 1,1,2,1;1,2,1,1;2,1,1,2 | 1,1,2,1;1,1,2,3+;1,2,1,1;2,1,1,2 | 1,1,2,3+;1,2,1,1;1,2,3+,1;2,1,1,2 | 1,1,2,3+;1,2,3+,1;2,1,1,2;2,3+,1,1 | 1,1,2,3+;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",9,10,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
235,A_start,11,"1,2,2,1,1,2,2,3,1,1,1,1","1 | 1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,2,2,1 | 1,2,2,1;2,2,1,1 | 1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,3+,1 | 1,1,2,2;1,2,2,3+;2,2,3+,1;2,3+,1,1 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",10,11,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
248,A_start,4,"3,1,1,1,1","3+ | 3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","3+,1,1,1 | 1,1,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",3,4,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
250,A_start,4,"1,3,1,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,3+,1,1 | 1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",4,4,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
257,A_start,8,"2,2,2,3,2,1,1,1,1","2 | 2,2 | 2,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","2,2,2,3+ | 2,2,2,3+;2,2,3+,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,1 | 2,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 2,1,1,1;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",7,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
